EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
200173,8,8206,28,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2019,8,7,6,Bronquitis/Bronquiolitis aguda (J20-J21)
116829,7,7201,16,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2025,53,7,22,Bronquitis/Bronquiolitis aguda (J20-J21)
200123,13,13501,10,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,31,4,51,IRA alta (J00-J06)
120107,8,8312,20,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2020,41,8,2,Crisis obstructiva bronquial (J40-J46)
109811,13,13302,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2015,35,7,59,Bronquitis/Bronquiolitis aguda (J20-J21)
113808,13,13116,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2016,16,7,40,Bronquitis/Bronquiolitis aguda (J20-J21)
116106,7,7103,16,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2016,35,7,2,Bronquitis/Bronquiolitis aguda (J20-J21)
119805,8,8111,19,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2017,29,7,39,Bronquitis/Bronquiolitis aguda (J20-J21)
114103,13,13131,14,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2018,2,7,53,Bronquitis/Bronquiolitis aguda (J20-J21)
115805,6,6108,15,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2018,4,7,8,Bronquitis/Bronquiolitis aguda (J20-J21)
107802,5,5109,7,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2019,51,7,56,Bronquitis/Bronquiolitis aguda (J20-J21)
116840,7,7101,16,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2014,11,9,1,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
106829,5,5601,6,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2016,47,9,4,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200741,4,4301,5,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2026,18,9,0,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200777,7,7104,16,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,42,35,0,"COVID-19, virus identificado (U07.1)"
123801,10,10301,23,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,21,7,1,Bronquitis/Bronquiolitis aguda (J20-J21)
200051,13,13110,14,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,8,7,4,Bronquitis/Bronquiolitis aguda (J20-J21)
113150,13,13402,13,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2016,8,5,0,Influenza (J09-J11)
112810,13,13120,12,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2018,39,5,0,Influenza (J09-J11)
200148,7,7401,16,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2026,16,34,0,"COVID-19, virus no identificado (U07.2)"
200110,5,5109,7,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2016,28,8,12,Crisis obstructiva bronquial (J40-J46)
